batch_id,batch_size,flush_reason,batch_duration_ms,queue_wait_p50_ms,router_p50_ms,chosen_llm_p50_ms,chosen_success_rate,shadow_calls,errors
1,2,time,4.79,262.88,1.55,nan,0.0000,1,3
2,2,time,3.67,807.92,0.91,nan,0.0000,0,2
3,2,time,2.46,361.95,0.76,nan,0.0000,0,2
4,3,time,3.03,224.37,0.99,nan,0.0000,0,3
5,2,time,2.66,290.86,0.83,nan,0.0000,0,2
6,3,time,3.01,659.79,0.95,nan,0.0000,0,3
7,2,time,2.23,359.93,0.68,nan,0.0000,0,2
8,4,time,4.27,913.12,1.88,nan,0.0000,0,4
9,3,time,3.66,956.09,1.05,nan,0.0000,1,4
10,6,time,7.19,2352.23,2.52,nan,0.0000,4,10
11,3,time,3.12,1003.18,1.00,nan,0.0000,0,3
12,3,time,3.19,1323.54,0.89,nan,0.0000,0,3
13,2,time,2.47,423.03,0.70,nan,0.0000,0,2
14,2,time,2.48,379.48,0.75,nan,0.0000,0,2
15,2,time,2.85,614.71,0.71,nan,0.0000,0,2
16,2,time,2.96,881.81,0.85,nan,0.0000,0,2
17,2,time,2.63,390.01,0.78,nan,0.0000,0,2
18,4,time,3.99,255.08,1.12,nan,0.0000,0,4
19,1,final,1.87,1345.17,0.36,nan,0.0000,0,1
