batch_id,batch_size,flush_reason,batch_duration_ms,queue_wait_p50_ms,router_p50_ms,chosen_llm_p50_ms,chosen_success_rate,shadow_calls,errors
1,4,time,1785.48,246.53,2.86,1432.93,1.0000,0,0
2,4,time,616.30,513.24,1.94,321.70,1.0000,0,0
3,2,time,562.46,810.88,0.93,385.36,1.0000,1,0
4,2,time,404.33,882.25,0.93,391.33,1.0000,0,0
5,2,time,352.84,622.20,0.80,343.11,1.0000,0,0
6,3,time,477.03,466.59,1.14,453.60,1.0000,0,0
7,2,time,273.13,412.99,0.68,202.44,1.0000,0,0
8,3,time,1200.81,929.78,2.52,906.25,1.0000,1,0
9,2,time,792.19,277.01,0.70,578.40,1.0000,0,0
10,2,time,276.05,284.14,0.74,224.18,1.0000,0,0
11,2,time,530.68,384.76,0.84,422.57,1.0000,0,0
12,2,time,565.09,854.53,0.83,408.99,1.0000,1,0
13,2,time,855.54,1033.11,0.91,555.94,1.0000,0,0
14,2,time,1035.23,2054.54,0.95,984.01,1.0000,0,0
15,2,time,2331.19,497.58,0.87,1595.69,1.0000,1,0
16,2,time,559.10,359.43,1.04,439.44,1.0000,1,0
17,2,time,1163.04,1474.54,0.73,837.96,1.0000,0,0
18,2,time,1848.94,903.50,0.71,1115.78,1.0000,1,0
19,3,time,1472.86,2906.24,1.97,971.03,1.0000,0,0
20,2,time,497.44,2829.32,0.85,466.73,1.0000,0,0
21,2,time,883.41,561.13,0.83,592.90,1.0000,1,0
22,3,time,1513.52,446.57,1.51,745.07,1.0000,1,0
23,2,time,301.38,553.13,0.91,256.88,1.0000,0,0
24,2,time,320.87,495.99,1.06,240.34,1.0000,0,0
25,2,time,773.36,327.99,1.10,587.35,1.0000,0,0
26,3,time,855.98,1032.66,0.96,547.00,1.0000,1,0
27,3,time,349.22,2459.25,2.62,267.44,1.0000,0,0
28,2,time,170.65,410.80,0.79,158.67,1.0000,0,0
29,3,time,568.47,800.56,1.31,485.81,1.0000,0,0
30,4,time,546.41,1163.35,2.09,272.24,1.0000,1,0
31,2,time,947.43,845.92,0.96,561.35,1.0000,1,0
32,4,time,655.30,827.99,1.29,400.25,1.0000,2,0
33,2,time,1435.06,1254.40,0.83,933.03,1.0000,1,0
34,2,time,512.56,330.84,0.87,471.45,1.0000,0,0
35,2,time,361.28,1109.47,0.86,271.04,1.0000,0,0
36,3,time,839.70,1920.04,1.60,627.36,1.0000,1,0
37,2,time,814.38,303.90,0.71,582.50,1.0000,1,0
38,2,time,299.81,544.64,0.82,257.60,1.0000,0,0
39,2,time,361.13,479.07,0.80,252.28,1.0000,1,0
40,2,time,360.89,535.40,0.90,233.35,1.0000,1,0
41,2,time,368.89,425.86,0.74,241.04,1.0000,1,0
42,2,time,340.27,577.33,0.84,299.42,1.0000,0,0
43,3,time,346.84,1138.27,2.74,276.88,1.0000,0,0
44,2,time,592.82,261.57,0.64,580.80,1.0000,0,0
45,4,time,1310.56,440.11,1.63,363.52,1.0000,3,0
46,2,time,299.06,841.41,0.85,258.80,1.0000,0,0
47,2,time,831.18,824.44,0.97,494.43,1.0000,1,0
48,2,time,375.34,293.90,1.06,371.74,1.0000,0,0
49,3,time,845.00,1786.43,1.80,685.46,1.0000,1,0
50,2,time,380.59,370.73,0.99,348.05,1.0000,0,0
51,2,time,545.97,1402.01,0.76,494.51,1.0000,0,0
52,2,time,740.03,1642.23,0.77,411.52,1.0000,1,0
53,3,time,2443.62,1353.53,1.19,805.93,1.0000,2,0
54,3,time,418.11,1144.28,2.59,296.26,1.0000,0,0
55,3,time,905.21,491.79,1.00,437.53,1.0000,2,0
56,2,time,523.84,374.62,0.74,482.93,1.0000,0,0
57,2,time,600.04,530.14,0.80,433.47,1.0000,1,0
58,2,time,657.86,377.45,0.72,500.62,1.0000,1,0
59,2,time,1334.77,497.07,0.92,719.23,1.0000,1,0
60,2,time,546.60,507.08,0.58,515.01,1.0000,0,0
61,3,time,499.00,3067.65,1.19,480.01,1.0000,1,0
62,2,time,672.22,620.71,0.90,476.66,1.0000,1,0
63,2,time,568.15,339.92,0.87,373.65,1.0000,1,0
64,3,time,1646.28,2503.75,1.15,1028.61,1.0000,1,0
65,2,time,397.57,788.89,0.84,355.75,1.0000,0,0
66,3,time,821.73,671.87,1.25,645.03,1.0000,0,0
67,2,time,775.02,635.72,0.89,552.08,1.0000,0,0
68,2,time,541.15,519.55,3.88,400.38,1.0000,0,0
69,2,time,458.16,269.87,1.02,368.43,1.0000,0,0
70,2,time,837.35,725.83,1.11,475.75,1.0000,1,0
71,2,time,438.64,626.73,1.08,357.91,1.0000,0,0
72,3,time,627.91,776.90,0.99,452.64,1.0000,0,0
73,2,time,674.04,397.50,0.80,462.02,1.0000,0,0
74,2,time,816.98,380.59,0.76,612.14,1.0000,1,0
75,2,time,391.77,543.33,0.75,312.38,1.0000,0,0
76,2,time,493.67,1802.97,1.07,412.37,1.0000,0,0
77,3,time,763.71,1246.50,1.07,321.01,1.0000,2,0
78,2,time,534.14,557.06,1.15,348.80,1.0000,0,0
79,2,time,170.66,1250.42,0.94,152.62,1.0000,0,0
80,3,time,1133.06,940.21,1.85,1011.90,1.0000,1,0
81,2,time,739.79,1416.51,0.84,546.71,1.0000,1,0
82,2,time,636.23,727.82,0.89,522.46,1.0000,0,0
83,3,time,347.26,3453.61,1.25,267.68,1.0000,0,0
84,2,time,783.34,693.76,0.75,598.20,1.0000,1,0
85,2,time,495.65,1169.78,3.59,460.07,1.0000,0,0
