batch_id,batch_size,flush_reason,batch_duration_ms,queue_wait_p50_ms,router_p50_ms,chosen_llm_p50_ms,chosen_success_rate,shadow_calls,errors
1,3,time,713.04,1335.52,1.43,676.59,1.0000,0,0
2,2,time,298.85,352.09,1.60,267.90,1.0000,0,0
3,2,time,435.48,830.14,0.83,384.16,1.0000,0,0
4,2,time,355.94,1577.54,0.95,301.44,1.0000,0,0
5,2,time,365.36,463.53,0.84,266.78,1.0000,1,0
6,2,time,536.29,402.49,0.74,412.18,1.0000,0,0
7,5,time,483.37,1118.43,1.80,329.22,1.0000,1,0
8,2,time,530.06,654.28,0.83,446.48,1.0000,0,0
9,2,time,1050.91,408.00,0.90,990.24,1.0000,0,0
10,2,time,1046.64,256.91,0.78,891.33,1.0000,0,0
11,2,time,959.92,1230.88,0.82,555.21,1.0000,1,0
12,3,time,551.54,2284.45,1.31,309.44,1.0000,0,0
13,3,time,745.38,1572.38,1.30,704.63,1.0000,1,0
14,3,time,1637.36,2858.14,1.44,767.03,1.0000,2,0
15,2,time,542.03,302.82,0.88,522.59,1.0000,0,0
16,2,time,1160.00,491.60,0.66,738.74,1.0000,1,0
17,2,time,1210.35,1535.94,0.78,837.20,1.0000,0,0
18,3,time,986.11,1645.87,1.16,963.15,1.0000,1,0
19,2,time,1444.60,1910.52,0.88,956.37,1.0000,1,0
20,3,time,709.57,934.06,1.30,416.71,1.0000,2,0
21,2,time,1762.33,288.87,0.93,977.22,1.0000,1,0
22,2,time,703.35,444.29,0.96,448.85,1.0000,1,0
23,3,time,678.57,1965.53,1.66,351.64,1.0000,1,0
24,2,time,416.19,1372.52,1.08,396.97,1.0000,0,0
25,3,time,865.44,564.70,0.91,337.01,1.0000,1,0
26,2,time,312.98,806.83,0.77,281.00,1.0000,0,0
27,3,time,289.21,2078.22,1.31,172.31,1.0000,0,0
28,2,time,1222.24,945.54,0.92,804.80,1.0000,1,0
29,3,time,1072.39,4225.06,6.21,718.78,1.0000,2,0
30,2,time,497.93,765.86,0.92,350.08,1.0000,1,0
31,5,time,1007.09,2574.82,1.59,662.45,1.0000,3,0
32,4,time,1412.28,1108.80,1.53,373.29,1.0000,3,0
33,2,time,467.12,557.75,0.75,409.54,1.0000,0,0
34,2,time,513.78,414.22,0.82,336.62,1.0000,1,0
35,4,time,681.06,953.19,3.67,529.76,1.0000,0,0
36,2,time,336.87,679.20,3.33,273.73,1.0000,0,0
37,2,time,381.16,503.59,0.67,279.23,1.0000,1,0
38,4,time,441.56,1638.85,6.64,269.69,1.0000,1,0
39,2,time,335.29,1452.58,0.95,284.35,1.0000,0,0
40,3,time,775.84,369.50,1.04,277.65,1.0000,2,0
41,3,time,538.02,2080.35,1.23,328.33,1.0000,1,0
42,2,time,752.26,1067.66,0.82,427.86,1.0000,1,0
43,2,time,346.43,833.45,0.80,277.53,1.0000,0,0
44,3,time,553.56,617.74,1.75,207.40,1.0000,2,0
45,3,time,903.88,1486.72,2.19,787.63,1.0000,1,0
46,3,time,582.73,310.55,6.48,490.77,1.0000,1,0
47,4,time,363.33,680.33,6.84,313.93,1.0000,1,0
48,2,time,726.03,488.62,0.78,498.86,1.0000,1,0
49,3,time,2392.52,809.96,1.17,575.70,1.0000,2,0
50,3,time,951.54,1543.10,1.28,724.79,1.0000,1,0
51,2,time,388.41,320.89,3.27,240.90,1.0000,1,0
52,2,time,1002.01,483.58,0.70,693.57,1.0000,0,0
53,3,time,593.77,645.08,1.50,536.74,1.0000,0,0
54,2,time,304.29,634.72,0.99,195.39,1.0000,0,0
55,2,time,1330.98,1116.99,0.77,847.96,1.0000,1,0
56,2,time,520.72,595.88,0.74,490.01,1.0000,0,0
57,2,time,252.64,551.63,0.76,240.86,1.0000,0,0
58,2,time,557.26,352.47,3.61,405.20,1.0000,1,0
59,3,time,1081.56,1017.15,1.46,682.86,1.0000,1,0
60,3,time,1571.74,2238.42,1.03,439.41,1.0000,2,0
61,3,time,540.33,783.92,1.03,517.31,1.0000,0,0
62,2,time,816.92,595.69,0.92,653.20,1.0000,0,0
63,2,time,529.15,700.92,0.84,501.26,1.0000,0,0
64,2,time,677.01,332.92,0.94,457.10,1.0000,1,0
65,2,time,644.07,1976.79,0.98,376.24,1.0000,1,0
66,2,time,1130.51,1009.58,1.03,689.72,1.0000,1,0
67,3,time,438.59,327.50,1.00,362.24,1.0000,0,0
68,4,time,682.73,3284.55,1.18,573.49,1.0000,1,0
69,2,time,724.45,321.40,0.70,699.19,1.0000,0,0
70,3,time,549.03,1380.53,1.47,333.16,1.0000,1,0
71,2,time,300.30,429.53,0.63,294.98,1.0000,0,0
72,2,time,721.66,449.04,0.78,451.47,1.0000,1,0
73,2,time,510.66,577.21,0.87,348.99,1.0000,1,0
74,4,time,915.43,681.89,1.67,248.50,1.0000,2,0
75,2,time,700.47,525.94,0.57,528.29,1.0000,1,0
76,3,time,1199.04,1779.98,0.95,1123.93,1.0000,0,0
77,3,time,799.99,394.53,1.34,583.68,1.0000,1,0
78,2,time,457.00,1062.06,0.69,376.97,1.0000,0,0
79,1,final,425.87,811.35,0.27,423.78,1.0000,0,0
