batch_id,batch_size,flush_reason,batch_duration_ms,queue_wait_p50_ms,router_p50_ms,chosen_llm_p50_ms,chosen_success_rate,shadow_calls,errors
1,2,time,649.24,365.99,1.72,601.91,1.0000,0,0
2,3,time,368.99,341.53,1.24,346.47,1.0000,0,0
3,2,time,582.26,279.39,0.74,464.70,1.0000,0,0
4,2,time,595.35,463.10,3.71,426.35,1.0000,1,0
5,2,time,372.80,638.87,0.80,293.31,1.0000,0,0
6,4,time,746.38,658.96,1.91,464.27,1.0000,1,0
7,2,time,462.82,655.24,0.80,393.60,1.0000,0,0
8,4,time,940.02,566.27,1.71,278.57,1.0000,3,0
9,3,time,784.53,899.08,0.90,685.46,1.0000,0,0
10,4,time,547.97,3555.33,1.52,304.80,1.0000,0,0
11,2,time,544.85,318.92,0.65,408.39,1.0000,1,0
12,4,time,994.74,559.30,3.13,885.92,1.0000,1,0
13,2,time,1315.32,411.99,0.98,1093.80,1.0000,0,0
14,2,time,517.39,594.19,1.06,407.70,1.0000,1,0
15,3,time,1862.03,2670.33,1.11,1203.69,1.0000,2,0
16,2,time,927.69,2027.76,3.23,655.15,1.0000,1,0
17,2,time,1446.06,791.39,0.89,1252.82,1.0000,0,0
18,2,time,469.76,1240.37,0.96,457.07,1.0000,0,0
19,3,time,1663.18,676.67,2.10,895.00,1.0000,2,0
20,3,time,599.25,1630.79,1.54,234.01,1.0000,2,0
21,3,time,339.53,834.96,1.92,316.77,1.0000,0,0
22,3,time,772.87,1868.00,1.14,406.98,1.0000,1,0
23,3,time,831.89,354.53,1.16,351.37,1.0000,1,0
24,2,time,354.76,366.44,0.83,312.83,1.0000,0,0
25,3,time,495.50,1897.44,1.49,165.57,1.0000,1,0
26,2,time,524.60,1318.72,0.88,425.23,1.0000,0,0
27,2,time,314.04,338.55,0.93,254.28,1.0000,0,0
28,3,time,533.16,1014.15,1.59,204.42,1.0000,2,0
29,3,time,3353.68,3070.20,1.02,679.05,1.0000,2,0
30,2,time,148.62,712.33,0.80,136.24,1.0000,0,0
31,4,time,1438.69,540.22,2.60,487.59,1.0000,3,0
32,2,time,357.02,295.01,3.51,264.86,1.0000,0,0
33,6,time,845.95,373.14,3.10,648.19,1.0000,1,0
34,2,time,250.36,472.06,0.80,200.69,1.0000,0,0
35,2,time,341.43,405.47,0.84,232.79,1.0000,1,0
36,3,time,1942.26,884.44,1.43,400.73,1.0000,2,0
37,2,time,314.13,991.57,0.93,282.81,1.0000,0,0
38,3,time,327.74,775.90,1.10,252.86,1.0000,0,0
39,2,time,543.82,319.93,0.82,416.89,1.0000,1,0
40,2,time,1319.02,1478.56,0.82,815.76,1.0000,1,0
41,2,time,347.42,810.41,0.86,230.43,1.0000,1,0
42,2,time,586.73,278.36,0.88,409.65,1.0000,1,0
43,3,time,866.99,423.54,1.44,385.35,1.0000,2,0
44,4,time,870.33,533.21,2.20,523.42,1.0000,1,0
45,2,time,394.93,272.18,1.05,343.46,1.0000,0,0
46,2,time,551.25,357.96,0.78,433.50,1.0000,0,0
47,2,time,712.15,410.51,0.81,411.99,1.0000,1,0
48,3,time,2413.31,1244.37,1.25,389.33,1.0000,2,0
49,2,time,294.39,353.43,0.92,272.66,1.0000,0,0
50,2,time,899.18,677.80,0.98,657.93,1.0000,0,0
51,2,time,394.14,975.06,1.63,247.29,1.0000,1,0
52,2,time,525.64,282.67,0.73,437.07,1.0000,0,0
53,3,time,705.38,5967.70,1.22,625.68,1.0000,1,0
54,2,time,186.00,254.89,3.82,151.42,1.0000,0,0
55,2,time,1363.41,1883.49,0.83,928.80,1.0000,1,0
56,3,time,552.30,1119.00,2.88,452.14,1.0000,1,0
57,2,time,698.29,812.27,0.86,577.70,1.0000,1,0
58,4,time,1026.44,1336.12,1.93,432.74,1.0000,2,0
59,6,time,1622.29,1859.32,3.40,502.84,1.0000,5,0
60,4,time,1170.07,2619.36,2.16,604.25,1.0000,3,0
61,2,time,277.99,563.18,0.97,265.80,1.0000,0,0
62,2,time,449.05,984.19,1.08,291.51,1.0000,1,0
63,2,time,813.39,574.20,1.22,552.53,1.0000,1,0
64,3,time,439.92,1879.10,1.24,415.00,1.0000,0,0
65,2,time,597.07,739.85,0.76,430.40,1.0000,0,0
66,2,time,681.83,740.06,0.88,583.84,1.0000,1,0
67,2,time,759.48,489.36,0.83,509.35,1.0000,0,0
68,4,time,486.72,1021.71,1.88,385.36,1.0000,1,0
69,3,time,934.62,1996.28,1.12,265.96,1.0000,2,0
70,2,time,481.78,1666.28,0.87,306.75,1.0000,1,0
71,2,time,1131.79,990.57,0.88,680.95,1.0000,1,0
72,5,time,1139.68,209.28,1.59,762.11,1.0000,2,0
73,2,time,790.24,397.48,0.87,521.14,1.0000,1,0
74,3,time,933.34,1144.32,1.02,302.96,1.0000,1,0
75,2,time,519.40,520.60,0.94,409.56,1.0000,1,0
76,1,final,557.58,1521.52,0.37,555.46,1.0000,0,0
