batch_id,batch_size,flush_reason,batch_duration_ms,queue_wait_p50_ms,router_p50_ms,chosen_llm_p50_ms,chosen_success_rate,shadow_calls,errors,chosen_task_perf_p50,chosen_total_tokens_p50,chosen_social_welfare_p50
1,4,size,999.83,291.12,2.51,720.22,1.0000,0,0,0.142512,458.00,-0.289988
2,4,size,592.64,77.83,1.66,292.58,1.0000,0,0,0.142857,497.00,-0.354143
3,4,size,661.85,67.24,1.84,488.50,1.0000,0,0,0.350769,602.50,-0.263731
4,4,size,485.22,30.75,1.24,335.89,1.0000,0,0,0.111111,399.00,-0.287889
5,4,size,460.16,143.33,1.42,284.38,1.0000,0,0,0.285714,447.50,-0.169286
6,4,size,1153.20,159.86,1.27,1036.66,1.0000,0,0,0.000000,539.00,-0.532000
7,4,size,718.30,228.43,1.31,448.53,1.0000,0,0,0.103448,582.00,-0.468889
8,4,size,866.88,637.82,1.78,311.36,1.0000,0,0,0.000000,643.00,-0.643000
9,4,size,733.23,88.78,2.06,623.63,1.0000,0,0,0.543548,698.00,-0.158452
10,4,size,1214.55,174.92,1.41,541.75,1.0000,0,0,0.142857,637.00,-0.389143
11,3,time,1411.76,251.39,1.22,950.61,1.0000,0,0,0.000000,554.00,-0.543000
12,4,size,1420.61,297.48,1.84,719.61,1.0000,0,0,0.125000,616.00,-0.506500
13,4,size,685.33,312.47,1.88,360.16,1.0000,0,0,0.450000,624.00,-0.178500
14,4,size,652.15,48.24,5.29,229.27,1.0000,0,0,0.333333,736.50,-0.407167
15,4,size,736.23,70.76,1.64,391.68,1.0000,0,0,0.000000,718.50,-0.718500
16,4,size,831.24,143.80,1.38,516.71,1.0000,0,0,0.000000,496.50,-0.489500
17,4,size,504.85,71.28,1.59,226.59,1.0000,0,0,0.597222,553.00,0.068722
18,4,size,1063.43,123.78,1.87,460.43,1.0000,0,0,0.085106,628.00,-0.534894
19,4,size,517.36,149.33,7.05,204.18,1.0000,0,0,0.700000,677.00,0.038500
20,4,size,665.14,84.25,1.28,408.74,1.0000,0,0,0.455556,459.00,-0.003444
21,4,size,802.84,231.43,6.76,447.90,1.0000,0,0,0.225000,493.00,-0.280000
22,4,size,612.36,94.27,6.91,266.49,1.0000,0,0,0.804348,565.50,0.209848
23,4,size,823.21,153.86,1.21,504.56,1.0000,0,0,0.503497,568.00,-0.084516
24,4,size,370.69,133.94,1.55,213.31,1.0000,0,0,0.200000,554.00,-0.342000
25,4,size,437.03,164.84,1.65,253.63,1.0000,0,0,0.466667,622.00,-0.131333
26,4,size,344.74,55.73,7.41,285.69,1.0000,0,0,0.333333,569.00,-0.246976
27,4,size,726.97,132.80,1.48,312.04,1.0000,0,0,0.385185,541.50,-0.180315
28,4,size,378.72,337.02,2.48,271.44,1.0000,0,0,0.700000,597.50,0.068500
29,4,size,889.29,297.99,1.93,634.97,1.0000,0,0,0.321212,683.00,-0.372288
30,4,size,632.07,450.63,2.74,308.28,1.0000,0,0,0.342857,728.00,-0.411143
31,4,size,364.76,79.75,2.42,250.24,1.0000,0,0,0.366667,602.50,-0.272833
32,4,size,1000.27,193.86,4.02,534.63,1.0000,0,0,0.166667,532.50,-0.353333
33,4,size,959.53,175.34,2.51,424.89,1.0000,0,0,0.333333,594.50,-0.261167
34,4,size,1292.52,105.28,3.02,458.77,1.0000,0,0,0.111111,461.50,-0.350389
35,4,size,600.53,163.39,4.11,437.94,1.0000,0,0,0.472308,529.50,-0.052692
36,4,size,1277.66,108.80,1.22,484.83,1.0000,0,0,0.454832,537.50,-0.058882
37,4,size,997.90,129.80,1.51,603.81,1.0000,0,0,0.277778,572.00,-0.323222
38,4,size,1003.28,269.04,1.83,499.10,1.0000,0,0,0.435185,621.00,-0.188815
39,4,size,678.73,103.84,1.43,455.43,1.0000,0,0,0.141667,457.00,-0.312333
40,4,size,605.45,67.27,1.60,577.83,1.0000,0,0,0.205357,520.00,-0.315627
41,4,size,721.11,87.31,1.87,509.16,1.0000,0,0,0.267857,576.50,-0.305143
42,4,size,1041.16,102.29,3.41,477.83,1.0000,0,0,0.600000,653.50,-0.052000
43,4,size,531.60,110.78,1.31,432.89,1.0000,0,0,0.095238,356.50,-0.257762
44,4,size,676.60,71.74,1.66,536.16,1.0000,0,0,0.118056,424.00,-0.311444
45,4,size,787.94,185.40,1.74,652.00,1.0000,0,0,0.115984,489.00,-0.373016
46,4,size,1528.33,147.82,1.14,286.35,1.0000,0,0,0.666667,478.00,0.175167
47,3,time,513.12,285.41,1.21,237.30,1.0000,0,0,0.500000,476.00,0.029000
48,4,size,895.33,132.79,1.73,319.55,1.0000,0,0,0.327027,525.50,-0.198473
49,4,size,906.94,194.86,1.34,593.91,1.0000,0,0,0.123340,412.50,-0.274660
50,4,size,578.65,196.86,2.30,298.54,1.0000,0,0,0.000000,463.50,-0.460000
51,2,final,489.59,54.23,3.51,464.46,1.0000,0,0,0.370370,521.50,-0.151130
