batch_id,batch_size,flush_reason,batch_duration_ms,queue_wait_p50_ms,router_p50_ms,chosen_llm_p50_ms,chosen_success_rate,shadow_calls,errors,chosen_task_perf_p50,chosen_total_tokens_p50,chosen_social_welfare_p50
1,2,time,1081.65,1004.67,2.10,1072.47,1.0000,0,0,0.122671,454.00,-453.877329
2,2,time,350.46,788.41,1.04,339.35,1.0000,0,0,0.400000,462.00,-461.600000
3,2,time,589.58,1378.96,0.96,405.56,1.0000,0,0,0.222222,506.50,-506.277778
4,2,time,358.92,3642.82,0.97,316.48,1.0000,0,0,0.250000,545.50,-545.250000
5,2,time,599.70,1886.47,1.01,411.42,1.0000,0,0,0.495000,596.50,-596.005000
6,2,time,428.61,1683.33,1.05,415.54,1.0000,0,0,0.230769,647.00,-646.769231
7,2,time,356.70,459.03,0.79,344.32,1.0000,0,0,0.236111,381.00,-380.763889
8,2,time,469.79,1167.74,0.84,397.07,1.0000,0,0,0.000000,412.50,-412.500000
9,2,time,463.20,1312.94,0.96,305.41,1.0000,0,0,0.500000,436.50,-436.000000
10,2,time,317.98,1765.37,0.97,286.45,1.0000,0,0,0.285714,463.50,-463.214286
